obsymd,rwl,iqty,tdqty,edqty,spdqty,otltdqty,itqty,rf
1995-01-01,130.25,18.9,52.5,52.5,0.0,0.0,0.0,0.0
1995-01-02,130.19,18.0,76.7,76.7,0.0,0.0,0.0,0.0
1995-01-03,130.07,20.4,102.7,102.7,0.0,0.0,0.0,0.2
1995-01-04,130.0,23.0,71.3,71.3,0.0,0.0,0.0,0.3
1995-01-05,129.93,20.0,77.3,77.3,0.0,0.0,0.0,0.1
1995-01-06,129.85,20.2,80.0,80.0,0.0,0.0,0.0,0.0
1995-01-07,129.75,20.0,83.9,83.9,0.0,0.0,0.0,0.0
1995-01-08,129.69,19.0,92.4,92.4,0.0,0.0,0.0,0.0
1995-01-09,129.58,21.2,73.1,73.1,0.0,0.0,0.0,0.1
1995-01-10,129.5,19.5,81.1,81.1,0.0,0.0,0.0,0.0
1995-01-11,129.39,18.0,118.1,118.1,0.0,0.0,0.0,0.0
1995-01-12,129.27,15.6,74.4,74.4,0.0,0.0,0.0,0.5
1995-01-13,129.19,14.5,83.5,83.5,0.0,0.0,0.0,0.0
1995-01-14,129.09,13.0,70.3,70.3,0.0,0.0,0.0,0.0
1995-01-15,129.03,13.1,76.0,76.0,0.0,0.0,0.0,0.0
1995-01-16,128.94,12.9,78.9,78.9,0.0,0.0,0.0,0.0
1995-01-17,128.84,11.5,81.5,81.5,0.0,0.0,0.0,0.0
1995-01-18,128.75,15.4,80.5,80.5,0.0,0.0,0.0,0.8
1995-01-19,128.65,13.0,81.1,81.1,0.0,0.0,0.0,0.4
1995-01-20,128.55,13.0,82.6,82.6,0.0,0.0,0.0,0.0
1995-01-21,128.44,12.0,83.8,83.8,0.0,0.0,0.0,0.0
1995-01-22,128.38,25.8,82.8,82.8,0.0,0.0,0.0,11.0
1995-01-23,128.27,24.2,81.7,81.7,0.0,0.0,0.0,0.0
1995-01-24,128.18,25.4,82.3,82.3,0.0,0.0,0.0,0.0
1995-01-25,128.09,17.5,84.3,84.3,0.0,0.0,0.0,0.0
