taavg,hmavg,rf,iqty,ymd
13.7,72.9,0.0,38.2,2008-09-28
16.6,70.9,0.0,38.9,2008-09-29
15.0,79.3,0.0,30.5,2008-09-30
17.1,73.3,0.0,53.3,2008-10-01
17.6,72.4,0.0,11.6,2008-10-02
16.7,81.0,0.0,29.0,2008-10-03
17.6,79.4,0.0,46.0,2008-10-04
18.5,79.3,2.0,30.2,2008-10-05
17.2,75.7,0.0,36.4,2008-10-06
15.9,74.8,0.0,28.5,2008-10-07
16.2,73.4,0.0,20.5,2008-10-08
17.4,69.8,0.0,36.9,2008-10-09
16.2,85.2,2.0,11.5,2008-10-10
11.2,69.0,0.0,30.7,2008-10-11
11.1,72.9,0.0,30.9,2008-10-12
11.2,77.8,0.0,26.6,2008-10-13
12.6,78.5,0.0,10.8,2008-10-14
13.3,81.2,0.0,27.4,2008-10-15
15.5,81.1,0.0,31.6,2008-10-16
15.7,78.3,0.0,23.4,2008-10-17
15.7,75.3,0.0,22.2,2008-10-18
14.6,76.0,0.0,14.7,2008-10-19
15.7,76.2,0.0,19.3,2008-10-20
16.6,64.6,0.0,19.4,2008-10-21
16.3,79.3,2.0,18.9,2008-10-22
17.9,85.9,4.0,19.2,2008-10-23
11.8,60.2,0.0,19.1,2008-10-24
10.6,69.5,3.0,6.5,2008-10-25
12.6,60.5,0.0,39.0,2008-10-26
9.1,63.2,0.0,27.9,2008-10-27
8.5,71.8,0.0,3.7,2008-10-28
10.1,70.8,13.382,19.9,2008-10-29
8.9,66.3,0.0,28.4,2008-10-30
8.3,90.1,0.0,23.8,2008-10-31
9.6,78.8,0.0,23.1,2008-11-01
11.7,73.3,0.0,7.0,2008-11-02
9.5,70.0,0.0,27.8,2008-11-03
5.4,55.1,0.0,12.5,2008-11-04
7.2,63.0,0.0,20.4,2008-11-05
12.5,74.2,0.0,5.9,2008-11-06
12.5,84.5,0.0,20.2,2008-11-07
11.0,67.6,0.0,23.8,2008-11-08
10.4,71.6,0.0,7.7,2008-11-09
9.3,63.7,0.0,5.5,2008-11-10
7.7,66.3,0.0,13.2,2008-11-11
6.0,71.2,0.0,14.4,2008-11-12
7.2,69.5,0.0,22.0,2008-11-13
7.8,75.5,0.0,6.3,2008-11-14
9.4,77.3,0.0,17.3,2008-11-15
7.8,73.3,0.0,24.4,2008-11-16
3.1,62.0,0.0,8.2,2008-11-17
-1.9,39.2,0.0,0.6,2008-11-18
-4.0,41.4,0.0,16.2,2008-11-19
-1.8,73.8,0.0,1.4,2008-11-20
2.5,63.7,0.0,16.1,2008-11-21
1.5,67.3,0.0,24.0,2008-11-22
5.1,68.3,0.0,9.1,2008-11-23
4.6,77.0,0.0,10.5,2008-11-24
3.8,80.5,0.0,11.1,2008-11-25
4.6,73.6,0.0,18.6,2008-11-26
3.8,83.9,0.0,11.6,2008-11-27
5.2,83.1,0.0,11.6,2008-11-28
