◎ 유역 메타정보 (기준일: 2023.07.20),,,,,,,,,,,,,,,,,
대권역코드,대권역명,유역면적(㎢),중권역코드,중권역명,유역면적(㎢),표준유역코드,표준유역명,유역면적(㎢),관측소타입,관측소코드,관측소명,관측시작일,좌표(경도),좌표(위도),티센가중치,시명,구명
131,한강동해,3887,1301,양양남대천,1852.93,130104,남천,211.9,asos,90,속초,1968.01.01.,128.5647,38.25085,0.288176,강원도,고성군
131,한강동해,3887,1301,양양남대천,1852.93,130105,청초천,152.2,asos,90,속초,1968.01.01.,128.5647,38.25085,0.024211,강원도,고성군
102,북한강,10744,1010,춘천댐,1587.449,101011,춘천댐,139,asos,93,북춘천,2016.10.01.,127.7546,37.94749,0.220794,강원도,춘천시
102,북한강,10744,1010,춘천댐,1587.449,101012,춘천댐하류,52.7,asos,93,북춘천,2016.10.01.,127.7546,37.94749,0.414529,강원도,춘천시
102,북한강,10744,1012,소양강,1852.04,101208,소양강댐하류,88.9,asos,93,북춘천,2016.10.01.,127.7546,37.94749,0.184192,강원도,춘천시
102,북한강,10744,1013,의암댐,721.7,101302,의암댐,81.8,asos,93,북춘천,2016.10.01.,127.7546,37.94749,0.006952,강원도,춘천시
104,임진강,8140,1022,한탄강,2452.179,102202,화강,447.9,asos,95,철원,1988.01.01.,127.3041,38.14786,0.011172,강원도,철원군
104,임진강,8140,1022,한탄강,2452.179,102203,대교천합류후,199.4,asos,95,철원,1988.01.01.,127.3041,38.14786,0.026684,강원도,철원군
104,임진강,8140,1022,한탄강,2452.179,102204,부소천합류후,164.1,asos,95,철원,1988.01.01.,127.3041,38.14786,0.697801,강원도,철원군
104,임진강,8140,1022,한탄강,2452.179,102206,영평천상류,115.2,asos,95,철원,1988.01.01.,127.3041,38.14786,0.020611,강원도,철원군
104,임진강,8140,1022,한탄강,2452.179,102210,영평천하류,148.4,asos,95,철원,1988.01.01.,127.3041,38.14786,0.009365,강원도,철원군
104,임진강,8140,1022,한탄강,2452.179,102208,포천천상류,126.2,asos,98,동두천,1998.02.01.,127.0606,37.90187,0.002958,경기도,동두천시
104,임진강,8140,1022,한탄강,2452.179,102211,신천상류,111.5,asos,98,동두천,1998.02.01.,127.0606,37.90187,0.079072,경기도,동두천시
104,임진강,8140,1022,한탄강,2452.179,102212,청담천,54.6,asos,98,동두천,1998.02.01.,127.0606,37.90187,0.432694,경기도,동두천시
104,임진강,8140,1022,한탄강,2452.179,102213,신천하류,177.3,asos,98,동두천,1998.02.01.,127.0606,37.90187,0.488617,경기도,동두천시
104,임진강,8140,1023,임진강하류,1419.209,102301,적성수위표,80.1,asos,98,동두천,1998.02.01.,127.0606,37.90187,0.055701,경기도,동두천시
104,임진강,8140,1023,임진강하류,1419.209,102302,사미천,457,asos,99,파주,2001.12.07.,126.7664,37.88589,0.003903,경기도,파주시
104,임진강,8140,1023,임진강하류,1419.209,102303,눌노천합류후,157.6,asos,99,파주,2001.12.07.,126.7664,37.88589,0.25232,경기도,파주시
104,임진강,8140,1023,임진강하류,1419.209,102304,문산천합류후,97.7,asos,99,파주,2001.12.07.,126.7664,37.88589,0.685603,경기도,파주시
104,임진강,8140,1023,임진강하류,1419.209,102306,문산천하류,104.2,asos,99,파주,2001.12.07.,126.7664,37.88589,0.557387,경기도,파주시
104,임진강,8140,1023,임진강하류,1419.209,102309,임진강하류,72.5,asos,99,파주,2001.12.07.,126.7664,37.88589,0.318556,경기도,파주시
101,남한강,12394,1001,남한강상류,2447.85,100105,도암댐,149.4,asos,100,대관령,1971.07.15.,128.7183,37.67713,0.547236,강원도,평창군
101,남한강,12394,1001,남한강상류,2447.85,100106,송천,202.6,asos,100,대관령,1971.07.15.,128.7183,37.67713,0.006753,강원도,평창군
101,남한강,12394,1001,남한강상류,2447.85,100108,오대천상류,241.2,asos,100,대관령,1971.07.15.,128.7183,37.67713,0.054689,강원도,평창군
131,한강동해,3887,1302,강릉남대천,1050.109,130201,연곡천,230.3,asos,100,대관령,1971.07.15.,128.7183,37.67713,0.074412,강원도,평창군
131,한강동해,3887,1302,강릉남대천,1050.109,130203,오봉댐,109.8,asos,100,대관령,1971.07.15.,128.7183,37.67713,0.053359,강원도,평창군
131,한강동해,3887,1302,강릉남대천,1050.109,130204,강릉남대천,148.6,asos,100,대관령,1971.07.15.,128.7183,37.67713,3.64E-04,강원도,평창군
102,북한강,10744,1010,춘천댐,1587.449,101011,춘천댐,139,asos,101,춘천 test,1966.01.01.,127.7357,37.90256,0.004451,-,-
