,ymd,taavg,tamin,tamax,wsavg,wsmax,wdmax,hmavg,hmmin,evs,evl,catotavg,psavg,psmax,psmin,sdmax,tdavg,siavg,ssavg
0,2008-09-28,13.7,8.8,20.6,0.7,2,N,72.9,37,,,8.4,1020.6,1022.3,1018.5,,8.7,,.1
1,2008-09-29,16.6,12,23.9,0.9,3,NNE,70.9,32,,,5.8,1018.2,1020.3,1015.3,,10.6,,.5
2,2008-09-30,15,10.6,22.4,0.7,2,NE,79.3,45,,,4.4,1015.6,1017.9,1013.4,,11,,.1
3,2008-10-01,17.1,9.3,26.3,1.3,4,SSE,73.3,43,,,4,1015,1017.1,1012.8,,11.7,,.5
4,2008-10-02,17.6,11,25.4,1,3,SSE,72.4,38,,,0.4,1017.4,1019,1015.5,,11.9,,.8
5,2008-10-03,16.7,12.4,25.1,0.9,3,NW,81,43,,,2.8,1016.4,1018.4,1014.1,,13.1,,.5
6,2008-10-04,17.6,12.8,24.8,0.9,3,W,79.4,42,,,3.1,1015.2,1017,1013.1,,13.6,,.4
7,2008-10-05,18.5,14.5,25.7,1,4,SE,79.3,48,,,7.4,1012.5,1014.9,1010.5,,14.5,,.2
8,2008-10-06,17.2,12.6,22.9,1.3,4,SE,75.7,47,,,5.1,1013.5,1016.3,1011.4,,12,,.4
9,2008-10-07,15.9,12,22.1,0.9,3,NNW,74.8,42,,,3.6,1017.8,1019.9,1016.1,,11,,.5
10,2008-10-08,16.2,9.5,23.7,1.1,4,W,73.4,37,,,3.4,1020.1,1021.6,1017.8,,10.9,,.5
11,2008-10-09,17.4,12.2,25.6,0.7,2,NNW,69.8,24,,,3.4,1022.1,1024.6,1019.9,,10.8,,.7
12,2008-10-10,16.2,10.9,20.3,0.8,3,W,85.2,68,,,7.6,1018.6,1020.9,1016.1,,13.4,,
13,2008-10-11,11.2,5.1,19.4,1.1,3,N,69,30,,,1.1,1020.8,1022.9,1018.6,,4.7,,.8
14,2008-10-12,11.1,5.1,20.2,1.1,3,N,72.9,30,,,2.1,1019.4,1021.2,1016.8,,5.8,,.7
15,2008-10-13,11.2,4.4,20.5,0.7,2,NNW,77.8,38,,,4.4,1019.2,1021.5,1016.7,,6.9,,.4
16,2008-10-14,12.6,7.1,20.9,0.9,3,NE,78.5,36,,,1.5,1021,1023.1,1019,,8.1,,.5
17,2008-10-15,13.3,7.1,22.7,0.7,2,NNE,81.2,44,,,1.5,1024.4,1026.5,1022.4,,9.6,,.6
18,2008-10-16,15.5,10.8,23.5,0.9,3,SE,81.1,48,,,6.6,1024.4,1026.3,1022.3,,11.9,,.5
19,2008-10-17,15.7,10.1,26,0.7,2,NE,78.3,34,,,2.9,1024.6,1026.2,1022.3,,11.3,,.6
20,2008-10-18,15.7,9.3,28.3,0.7,2,SE,75.3,31,,,3.1,1023.9,1026.4,1021.2,,10.2,,.6
21,2008-10-19,14.6,8,24.2,0.7,2,WNW,76,35,,,5.5,1021.2,1023.9,1018.8,,9.7,,.3
22,2008-10-20,15.7,9.4,27.4,0.7,2,SE,76.2,27,,,2.8,1020.4,1022.3,1017.8,,10.1,,.6
23,2008-10-21,16.6,8.9,26.8,0.9,4,SSW,64.6,23,,,6.8,1020.1,1022.9,1017.8,,8.2,,.6
24,2008-10-22,16.3,14.1,18.7,2.3,5,SSE,79.3,61,,,10,1016.7,1020.3,1013.7,,12.6,,
25,2008-10-23,17.9,15,20.8,1.2,5,NW,85.9,75,,,9.4,1011.7,1014.7,1009.6,,15.2,,0
26,2008-10-24,11.8,4.9,16.1,2.8,6,NW,60.2,38,,,3.5,1020.5,1025.1,1014.7,,3.9,,.5
27,2008-10-25,10.6,3,17.5,1.6,6,WNW,69.5,39,,,6.4,1019.6,1024.1,1015.9,,5.2,,.4
28,2008-10-26,12.6,7.9,16.9,2.3,7,NW,60.5,20,,,3.5,1016.3,1018.1,1014.8,,3.6,,.7
29,2008-10-27,9.1,3,14.6,2,6,WNW,63.2,35,,,3.3,1018.8,1020.7,1017.1,,1.9,,.2
30,2008-10-28,8.5,1.5,15.9,1.5,4,NW,71.8,41,,,4.8,1017.6,1020.3,1015,,3.3,,.4
31,2008-10-29,10.1,5,16.8,1.2,4,NW,70.8,35,,,6.9,1017.6,1020.2,1015.7,,4.4,,.3
32,2008-10-30,8.9,2.8,15.6,1.2,5,NW,66.3,27,,,2.6,1021.8,1023.6,1020,,2.1,,.7
33,2008-10-31,8.3,5.3,11.9,0.7,3,NNE,90.1,82,,,7.3,1018.5,1022.1,1015.6,,6.7,,
34,2008-11-01,9.6,6.8,15.9,1.1,4,NW,78.8,32,,,4.6,1018.4,1021.5,1015.9,,5.3,,.6
35,2008-11-02,11.7,5.8,17.6,1.7,5,NW,73.3,41,,,6,1015.3,1017.2,1013.2,,6.5,,.2
36,2008-11-03,9.5,3.3,17.8,1.5,5,NW,70,31,,,2.8,1017.2,1021.5,1014.2,,2.9,,.3
37,2008-11-04,5.4,-1.6,15.4,1.1,2,NNE,55.1,14,,,0,1023.2,1025,1021.4,,-4.2,,.8
38,2008-11-05,7.2,-1.2,19.4,0.9,2,NNW,63,15,,,2.3,1021.3,1024.4,1018.1,,-.8,,.7
39,2008-11-06,12.5,4.3,20.4,0.6,3,NW,74.2,46,,,8.6,1016.4,1020.1,1013.6,,8,,.1
40,2008-11-07,12.5,9,15.9,0.6,2,NE,84.5,59,,,9.9,1018.4,1020.4,1015.4,,9.5,,
41,2008-11-08,11,6.2,16.8,1.5,4,SSE,67.6,45,,,7.5,1020.5,1022.7,1018.8,,4.8,,.2
42,2008-11-09,10.4,7.8,13.4,2,4,SE,71.6,61,,,7.3,1022.4,1025.1,1020.7,,5.3,,.2
