"대권역","관측소 명","운영 여부","관측 방법","관측소 코드","표준유역 코드","관할 기관"
"한강","대관령","운영","보통","10011100","100105","기상청"
"한강","정선군","운영","보통","10011217","100112","기상청"
"한강","평창군(월정분교)","운영","T/M","10014010","100108","환경부"
"한강","정선군(정선군2청사)","운영","T/M","10014020","100112","환경부"
"한강","강릉시(대기리)","운영","T/M","10014080","100106","환경부"
"한강","정선군(고한읍사무소)","운영","T/M","10014090","100113","환경부"
"한강","삼척시(번천리)","운영","T/M","10014100","100101","환경부"
"한강","평창군(상진부리)","운영","T/M","10014110","100108","한국수자원공사"
"한강","평창군(수하리)","운영","T/M","10014120","100105","한국수자원공사"
"한강","정선군(애산리)","운영","T/M","10014130","100112","한국수자원공사"
"한강","정선군(송계리)","운영","T/M","10014140","100104","한국수자원공사"
"한강","정선군(직전리)","운영","T/M","10014150","100113","한국수자원공사"
"한강","평창군(율치리)","운영","T/M","10014160","100115","한국수자원공사"
"한강","강릉시(대기리2)","운영","T/M","10014170","100106","한국수자원공사"
"한강","삼척시(광동리)","운영","T/M","10014180","100102","한국수자원공사"
"한강","삼척시(광동댐)","운영","T/M","10014190","100101","한국수자원공사"
"한강","태백시(상사미동)","운영","T/M","10014197","100101","한국수자원공사"
"한강","평창군(회동리)","운영","T/M","10014200","100115","한국수자원공사"
"한강","평창군(수항리)","운영","T/M","10014210","100109","한국수자원공사"
"한강","정선군(문곡리)","운영","T/M","10014220","100114","한국수자원공사"
"한강","정선군(유천리)","운영","T/M","10014230","100106","한국수자원공사"
"한강","정선군(덕암리)","운영","T/M","10014240","100102","한국수자원공사"
"한강","송천1교","운영","T/M","10014260","100105","한국수력원자력"
"한강","영월","운영","보통","10021121","100213","기상청"
"한강","평창군(가평초교)","운영","T/M","10024010","100203","환경부"
"한강","평창군(방림면사무소)","운영","T/M","10024060","100205","환경부"
"한강","평창군(흥정리)","운영","T/M","10024090","100201","환경부"
"한강","평창군(계촌리)","운영","T/M","10024100","100204","환경부"
"한강","평창군(유포리)","운영","T/M","10024110","100202","환경부"
"한강","평창군(유포리2)","운영","T/M","10024120","100202","환경부"
"한강","평창군(도사리)","운영","T/M","10024130","100201","환경부"
"한강","평창군(고길리)","운영","T/M","10024140","100206","환경부"
"한강","평창군(신리)","운영","T/M","10024150","100203","환경부"
"한강","평창군(이승복기념관)","운영","T/M","10024160","100201","환경부"
"한강","영월군(무릉리)","운영","T/M","10024170","100210","한국수자원공사"
"한강","평창군(계촌리2)","운영","T/M","10024180","100204","한국수자원공사"
"한강","평창군(원길리)","운영","T/M","10024190","100201","한국수자원공사"
