"대권역","관측소 명","운영 여부","관측 방법","관측소 코드","표준유역 코드","관할 기관"
"한강","평창군(송정교)","운영","T/M","1001602","100108","환경부"
"한강","태백시(무사교)","운영","T/M","1001603","100101","한국수자원공사"
"한강","송천1교","운영","T/M","1001605","100105","한국수력원자력"
"한강","삼척시(번천교)","운영","T/M","1001607","100101","한국수자원공사"
"한강","삼척시(광동교)","운영","T/M","1001613","100102","한국수자원공사"
"한강","삼척시(갈밭교)","운영","T/M","1001615","100102","한국수자원공사"
"한강","정선군(송계교)","운영","T/M","1001620","100103","환경부"
"한강","정선군(혈천교)","운영","T/M","1001622","100102","환경부"
"한강","정선군(송천교)","운영","T/M","1001625","100106","환경부"
"한강","정선군(제1여량교)","운영","T/M","1001626","100107","환경부"
"한강","정선군(남평대교)","운영","T/M","1001629","100107","환경부"
"한강","정선군(나전교)","운영","T/M","1001630","100109","환경부"
"한강","정선군(와평교)","운영","T/M","1001645","100111","환경부"
"한강","정선군(애산교)","운영","T/M","1001649","100111","환경부"
"한강","정선군(정선제1교)","운영","T/M","1001655","100112","환경부"
"한강","정선군(광하교)","운영","T/M","1001658","100112","환경부"
"한강","정선군(낙동교)","운영","T/M","1001660","100114","환경부"
"한강","영월군(거운교)","운영","T/M","1001670","100117","환경부"
"한강","영월군(삼옥교)","운영","T/M","1001683","100117","한국수자원공사"
"한강","영월군(영월대교)","운영","T/M","1001690","100117","환경부"
"한강","평창군(이목정교)","운영","T/M","1002605","100201","환경부"
"한강","평창군(장평교)","운영","T/M","1002610","100201","환경부"
"한강","평창군(진전교)","운영","T/M","1002615","100201","환경부"
"한강","평창군(선애교)","운영","T/M","1002625","100202","환경부"
"한강","평창군(사초교)","운영","T/M","1002635","100203","환경부"
"한강","평창군(상방림교)","운영","T/M","1002640","100205","환경부"
"한강","평창군(평창교)","운영","T/M","1002650","100206","환경부"
"한강","영월군(판운교)","운영","T/M","1002655","100206","한국수자원공사"
"한강","횡성군(안흥교)","운영","T/M","1002675","100208","환경부"
"한강","영월군(두학교)","운영","T/M","1002680","100209","환경부"
"한강","영월군(주천교)","운영","T/M","1002685","100210","환경부"
"한강","영월군(신천교)","운영","T/M","1002687","100210","환경부"
"한강","영월군(농공단지교)","운영","T/M","1002693","100212","환경부"
"한강","영월군(연당교)","운영","T/M","1002694","100213","한국수자원공사"
"한강","영월군(북쌍리)","운영","T/M","1002695","100213","한국수자원공사"
"한강","영월군(팔괴교)","운영","T/M","1002698","100213","환경부"
"한강","영월군(충혼교)","운영","T/M","1003605","100303","환경부"
"한강","영월군(옥동교)","운영","T/M","1003620","100305","환경부"
"한강","단양군(오사리)","운영","T/M","1003630","100306","한국수자원공사"
"한강","단양군(북벽교)","운영","T/M","1003632","100306","한국수자원공사"
"한강","단양군(가대교)","운영","T/M","1003636","100307","환경부"
"한강","단양군(덕천교)","운영","T/M","1003642","100310","환경부"
"한강","상진교","운영","T/M","1003644","100310","한국수자원공사"
"한강","단양군(단양1교)","운영","T/M","1003645","100309","환경부"
"한강","우화교","운영","T/M","1003646","100311","한국수자원공사"
