"대권역","관측소 명","관측소 코드","자료보유기간 시작년도","자료보유기간 종료년도","표준유역 코드","관할 기관"
"한강","평창군(송정교)","1001602","2018","2023","100108","환경부"
"한강","태백시(무사교)","1001603","2015","2023","100101","한국수자원공사"
"한강","송천1교","1001605","2013","2014","100105","한국수력원자력"
"한강","삼척시(번천교)","1001607","2015","2023","100101","한국수자원공사"
"한강","삼척시(광동교)","1001613","2015","2023","100102","한국수자원공사"
"한강","삼척시(갈밭교)","1001615","2015","2023","100102","한국수자원공사"
"한강","정선군(송계교)","1001620","2006","2023","100103","환경부"
"한강","정선군(혈천교)","1001622","2010","2023","100102","환경부"
"한강","정선군(송천교)","1001625","2007","2023","100106","환경부"
"한강","정선군(제1여량교)","1001626","2017","2023","100107","환경부"
"한강","정선군(남평대교)","1001629","2017","2023","100107","환경부"
"한강","정선군(나전교)","1001630","2007","2023","100109","환경부"
"한강","정선군(와평교)","1001645","2015","2023","100111","환경부"
"한강","정선군(애산교)","1001649","2008","2023","100111","환경부"
"한강","정선군(정선제1교)","1001655","2005","2023","100112","환경부"
"한강","정선군(광하교)","1001658","2013","2023","100112","환경부"
"한강","정선군(낙동교)","1001660","2009","2023","100114","환경부"
"한강","영월군(거운교)","1001670","2007","2023","100117","환경부"
"한강","영월군(삼옥교)","1001683","2015","2023","100117","한국수자원공사"
"한강","영월군(영월대교)","1001690","2003","2023","100117","환경부"
"한강","평창군(이목정교)","1002605","2008","2023","100201","환경부"
"한강","평창군(장평교)","1002610","2006","2023","100201","환경부"
"한강","평창군(진전교)","1002615","2006","2023","100201","환경부"
"한강","평창군(선애교)","1002625","1997","2023","100202","환경부"
"한강","평창군(사초교)","1002635","2006","2023","100203","환경부"
"한강","평창군(상방림교)","1002640","2006","2023","100205","환경부"
"한강","평창군(평창교)","1002650","2006","2023","100206","환경부"
"한강","영월군(판운교)","1002655","1994","2023","100206","한국수자원공사"
"한강","횡성군(안흥교)","1002675","2006","2023","100208","환경부"
"한강","영월군(두학교)","1002680","2013","2023","100209","환경부"
"한강","영월군(주천교)","1002685","1997","2023","100210","환경부"
"한강","영월군(신천교)","1002687","2007","2023","100210","환경부"
"한강","영월군(농공단지교)","1002693","2023","2023","100212","환경부"
"한강","영월군(북쌍리)","1002695","1988","2023","100213","한국수자원공사"
"한강","영월군(팔괴교)","1002698","2007","2023","100213","환경부"
"한강","영월군(충혼교)","1003605","2018","2023","100303","환경부"
"한강","영월군(옥동교)","1003620","2006","2023","100305","환경부"
"한강","단양군(오사리)","1003630","1994","2023","100306","한국수자원공사"
"한강","단양군(가대교)","1003636","2016","2023","100307","환경부"
"한강","단양군(덕천교)","1003642","2010","2023","100310","환경부"
"한강","상진교","1003644","2015","2023","100310","한국수자원공사"
"한강","단양군(단양1교)","1003645","2009","2023","100309","환경부"
"한강","우화교","1003646","2015","2023","100311","한국수자원공사"
"한강","제천시(물태리)","1003655","2006","2023","100319","한국수자원공사"
"한강","제천시(강저3교)","1003657","2021","2023","100314","환경부"
"한강","제천시(부수동교)","1003658","2019","2023","100316","환경부"
"한강","제천시(팔송교)","1003660","2016","2023","100313","환경부"
"한강","제천시(구곡교)","1003661","2016","2023","100315","환경부"
"한강","명서교","1003662","2015","2023","100319","한국수자원공사"
"한강","충주본댐우안","1003664","2008","2023","100319","한국수자원공사"
"한강","청주시(옥화1교)","1004620","2018","2023","100403","환경부"
"한강","고성교","1004630","2013","2014","100403","한국수력원자력"
"한강","후영교","1004635","2010","2014","100406","한국수력원자력"
"한강","괴산군(수전교)","1004645","2006","2021","100409","환경부"
"한강","괴산군(비도교)","1004646","2011","2023","100407","환경부"
"한강","괴산군(제2괴산교)","1004661","2022","2023","100408","환경부"
"한강","괴산군(추산교)","1004670","2013","2023","100410","환경부"
"한강","충주시(문강교)","1004680","2014","2021","100412","환경부"
"한강","팔봉교","1004685","2015","2023","100411","한국수자원공사"
"한강","충주시(향산리)","1004690","1994","2023","100414","한국수자원공사"
"한강","괴산군(목도교)","1004693","2011","2023","100409","환경부"
"한강","충주시(국원대교)","1004695","2013","2023","100413","환경부"
"한강","충주시(탄금교)","1005605","2006","2023","100414","환경부"
"한강","충주시(목계교)","1005640","1996","2023","100502","환경부"
"한강","원주시(법천교)","1005695","2006","2023","100505","환경부"
"한강","원주시(남한강대교)","1005697","2009","2023","100505","환경부"
"한강","횡성군(율동리)","1006610","2000","2023","100601","한국수자원공사"
"한강","횡성군(오산교)","1006630","2019","2021","100603","환경부"
"한강","횡성군(횡성교)","1006650","2006","2023","100605","환경부"
"한강","횡성군(전천교)","1006660","2006","2023","100604","환경부"
"한강","원주시(원주교)","1006665","2006","2023","100606","환경부"
"한강","원주시(옥산교)","1006670","2011","2023","100605","환경부"
"한강","원주시(장현교)","1006672","2007","2023","100608","환경부"
"한강","원주시(지정대교)","1006680","1997","2023","100608","환경부"
"한강","원주시(문막교)","1006690","1994","2023","100610","환경부"
"한강","안성시(한평교)","1007604","2018","2023","100701","환경부"
"한강","이천시(장호원교)","1007605","2006","2023","100705","환경부"
"한강","음성군(총천교)","1007610","2008","2021","100704","환경부"
"한강","여주시(원부교)","1007615","1994","2023","100706","환경부"
"한강","여주시(삼합교)","1007617","2008","2023","100706","환경부"
"한강","여주시(강천리)","1007620","2006","2021","100706","환경부"
"한강","여주시(남한강교)","1007625","2006","2023","100706","환경부"
"한강","강천보(상류)","1007633","2011","2022","100706","환경부"
"한강","강천보(하류)","1007634","2011","2022","100708","환경부"
"한강","여주시(여주대교)","1007635","1994","2023","100709","환경부"
"한강","여주보(상류)","1007639","2011","2022","100709","환경부"
"한강","여주시(율극교)","1007640","2006","2023","100711","환경부"
"한강","여주보(하류)","1007641","2011","2023","100710","환경부"
"한강","이천시(동산교)","1007642","2021","2023","100712","환경부"
"한강","이천시(복하교)","1007645","2000","2023","100713","환경부"
"한강","여주시(흥천대교)","1007650","2002","2023","100714","환경부"
"한강","여주시(양촌교)","1007655","2006","2023","100710","환경부"
"한강","이포보(상류)","1007662","2011","2023","100710","환경부"
"한강","이포보(하류)","1007664","2011","2021","100715","환경부"
"한강","양평군(흑천교)","1007680","1996","2023","100717","환경부"
"한강","양평군(양평교)","1007685","1994","2023","100718","환경부"
"한강","양평군(봉상교)","1007690","2013","2023","100717","환경부"
"한강","양평군(신원리)","1007697","2016","2022","100719","환경부"
"한강","화천군(평화나래교)","1009652","2010","2023","100903","한국수자원공사"
"한강","약수교","1010630","2013","2014","101004","한국수력원자력"
"한강","양구군(송청제2교)","1010633","2022","2023","101004","환경부"
"한강","하리교","1010635","2009","2014","101004","한국수력원자력"
"한강","양구군(각시교)","1010640","2002","2023","101003","한국수자원공사"
"한강","남전교","1010642","2009","2014","101003","한국수력원자력"
"한강","화천군(화천댐)","1010660","2000","2023","101006","환경부"
"한강","화천군(오작교)","1010670","2006","2023","100903","한국수자원공사"
"한강","화천군(신대교)","1010673","2023","2023","101008","환경부"
"한강","용신교","1010677","2009","2014","101008","한국수력원자력"
"한강","화천군(화천대교)","1010680","2006","2023","101009","한국수자원공사"
"한강","오탄교","1010684","2009","2014","101009","한국수력원자력"
"한강","춘천시(춘천댐)","1010690","2000","2023","101011","환경부"
"한강","춘천시(춘천댐하류)","1010695","2006","2021","101012","환경부"
"한강","인제군(반월촌교)","1011620","2015","2023","101102","환경부"
"한강","인제군(어두원교)","1011650","2000","2023","101103","한국수자원공사"
"한강","인제군(원통리)","1011690","1994","2023","101103","한국수자원공사"
"한강","인제군(도리촌교)","1011693","2019","2023","101104","한국수자원공사"
"한강","인제군(리빙스턴교)","1011695","2018","2023","101104","환경부"
"한강","인제군(왕성동교)","1012630","2007","2023","101201","환경부"
"한강","인제군(양지교)","1012635","2016","2023","101202","환경부"
"한강","인제군(현리교)","1012640","2011","2023","101204","환경부"
"한강","인제군(하죽천교)","1012645","2017","2023","101205","환경부"
"한강","인제군(원대교)","1012650","1994","2023","101205","한국수자원공사"
"한강","인제군(양구대교)","1012670","2006","2023","101206","한국수자원공사"
"한강","춘천시(천전리)","1012685","2006","2023","101208","환경부"
"한강","지내","1012688","2015","2023","101208","한국수자원공사"
"한강","춘천시(효자교)","1013610","2023","2023","101301","환경부"
"한강","목동교","1013620","2013","2014","101306","한국수력원자력"
"한강","춘천시(소양2교)","1013637","2006","2022","101302","환경부"
"한강","춘천시(강촌교)","1013645","1996","2023","101304","환경부"
"한강","가평군(가평교)","1013655","2006","2023","101306","환경부"
"한강","홍천군(용선교)","1014620","2009","2023","101402","환경부"
"한강","홍천군(주음치교)","1014630","2007","2023","101404","환경부"
"한강","홍천강(성포교)","1014635","2010","2014","101404","한국수력원자력"
"한강","홍천군(굴운교)","1014640","2007","2023","101406","환경부"
"한강","홍천군(홍천교)","1014650","1997","2023","101408","환경부"
"한강","홍천군(남노일대교)","1014665","2017","2023","101410","환경부"
"한강","홍천군(반곡교)","1014680","1994","2023","101412","환경부"
"한강","한덕교","1014695","2009","2014","101413","한국수력원자력"
"한강","홍천군(모곡교)","1014696","2011","2021","101413","환경부"
"한강","가평군(대보교)","1015620","2023","2023","101504","환경부"
"한강","산장제1교","1015630","2013","2014","101504","한국수력원자력"
"한강","가평군(청평댐)","1015640","2000","2023","101502","환경부"
"한강","가평군(청평교)","1015644","2006","2023","101504","환경부"
"한강","가평군(신청평대교)","1015645","1994","2023","101506","환경부"
"한강","남양주시(삼봉리)","1015680","2011","2021","101508","환경부"
"한강","용인시(월촌교)","1016607","2011","2023","101601","환경부"
"한강","광주시(경안교)","1016650","1994","2023","101603","환경부"
"한강","경안교","1016655","2013","2023","101603","한국수력원자력"
"한강","광주시(섬뜰교)","1016660","2006","2023","101604","환경부"
"한강","광주시(서하교)","1016670","2013","2023","101605","환경부"
"한강","광주시(광동교)","1016695","2006","2023","101605","환경부"
"한강","남양주시(팔당댐)","1017690","2000","2022","101701","환경부"
"한강","남양주시(팔당대교)","1018610","1996","2023","101801","환경부"
"한강","남양주시(부평교)","1018620","2003","2023","101802","환경부"
"한강","남양주시(연평대교)","1018623","2003","2021","101802","환경부"
"한강","남양주시(내곡교)","1018625","2003","2023","101802","환경부"
"한강","남양주시(진관교)","1018630","1994","2023","101803","환경부"
"한강","남양주시(퇴계원리)","1018635","2002","2023","101803","환경부"
"한강","남양주시(왕숙교)","1018638","2016","2023","101803","환경부"
"한강","서울시(광진교)","1018640","2006","2023","101807","환경부"
"한강","성남시(궁내교)","1018650","2002","2023","101804","환경부"
"한강","서울시(대곡교)","1018655","1995","2023","101806","환경부"
"한강","서울시(대치교)","1018658","2016","2023","101806","환경부"
"한강","서울시(청담대교)","1018662","2000","2023","101807","환경부"
"한강","의정부시(신곡교)","1018665","2003","2023","101808","환경부"
"한강","서울시(창동교)","1018669","2017","2023","101810","환경부"
"한강","서울시(월계2교)","1018670","2003","2023","101810","환경부"
"한강","서울시(중랑교)","1018675","1996","2023","101810","환경부"
"한강","서울시(잠수교)","1018680","1996","2023","101811","환경부"
"한강","서울시(한강대교)","1018683","1987","2023","101812","환경부"
"한강","안양시(충훈1교)","1018690","1994","2023","101815","환경부"
"한강","광명시(시흥대교)","1018693","2002","2023","101815","환경부"
"한강","서울시(너부대교)","1018695","2006","2023","101815","환경부"
"한강","서울시(오금교)","1018697","2003","2023","101815","환경부"
"한강","서울시(신대방1교)","1018698","2023","2023","101816","환경부"
"한강","부천시(도두리2교)","1019620","2013","2022","101907","환경부"
"한강","서울시(행주대교)","1019630","1996","2023","101903","환경부"
"한강","아라한강갑문(내)","1019635","2015","2022","101903","한국수자원공사"
"한강","아라한강갑실","1019636","2015","2022","101903","한국수자원공사"
"한강","아라한강갑문(외)","1019637","2015","2022","101903","한국수자원공사"
"한강","박촌1교","1019647","2015","2021","101903","한국수자원공사"
"한강","계양대교","1019648","2015","2022","101903","한국수자원공사"
"한강","귤현보(상)","1019651","2015","2022","101903","한국수자원공사"
"한강","귤현보(하)","1019652","2015","2022","101903","한국수자원공사"
"한강","벌말교","1019653","2015","2022","101903","한국수자원공사"
"한강","고양시(원당교)","1019667","2021","2023","101905","환경부"
"한강","김포시(전류리)","1019675","2004","2023","101906","환경부"
"한강","파주시(교하교)","1019680","2017","2021","101906","환경부"
"한강","철원군(백마교)","1021628","2022","2023","102107","한국수자원공사"
"한강","철원군(대마리)","1021630","2021","2023","102107","환경부"
"한강","연천군(필승교)","1021650","2006","2023","102108","환경부"
"한강","북삼","1021670","2015","2023","102108","한국수자원공사"
"한강","연천군(임진교)","1021680","2000","2023","102109","환경부"
"한강","철원군(장수대교)","1022626","2011","2023","102202","환경부"
"한강","철원군(삼합교)","1022630","2006","2023","102201","환경부"
"한강","철원군(한탄대교)","1022635","2016","2023","102203","환경부"
"한강","철원군(군탄교)","1022638","2019","2023","102204","한국수자원공사"
"한강","포천시(용담교)","1022640","2002","2023","102204","환경부"
"한강","포천시(대회산교)","1022642","2019","2023","102205","한국수자원공사"
"한강","포천시(영로대교)","1022643","2019","2023","102205","한국수자원공사"
"한강","연천군(한여울교)","1022645","2019","2023","102205","한국수자원공사"
"한강","포천시(낭유대교)","1022646","2023","2023","102206","환경부"
"한강","포천시(포천대교)","1022647","2023","2023","102208","환경부"
"한강","포천시(은현교)","1022648","2008","2023","102209","환경부"
"한강","포천시(영평교)","1022650","2002","2023","102210","환경부"
"한강","포천시(신백의교)","1022655","2006","2023","102210","환경부"
"한강","연천군(차탄교)","1022662","2016","2023","102214","환경부"
"한강","궁신교","1022664","2019","2023","102215","한국수자원공사"
"한강","연천군(고탄교)","1022666","2019","2023","102215","한국수자원공사"
"한강","동두천시(송천교)","1022668","2016","2023","102213","환경부"
"한강","연천군(신천교)","1022670","2008","2023","102213","환경부"
"한강","연천군(사랑교)","1022680","2002","2023","102215","환경부"
"한강","연천군(삼화교)","1023640","2011","2022","102301","환경부"
"한강","파주시(비룡대교)","1023660","2000","2023","102301","환경부"
"한강","연천군(사미천교)","1023662","2010","2023","102302","환경부"
"한강","파주시(통일대교)","1023670","2005","2023","102304","환경부"
"한강","파주시(만장교)","1023674","2023","2023","102305","환경부"
"한강","파주시(아가메교)","1023680","2011","2021","102306","환경부"
"안성천","화성시(화산교)","1101605","2013","2023","110113","환경부"
"안성천","안성시(옥산대교)","1101610","2006","2023","110101","환경부"
"안성천","안성시(건천리)","1101620","1996","2023","110107","환경부"
"안성천","천안시(안성천교)","1101630","2006","2023","110107","환경부"
"안성천","평택시(군문교)","1101635","1996","2023","110107","환경부"
"안성천","오산시(탑동대교)","1101645","2009","2023","110111","환경부"
"안성천","화성시(수직교)","1101650","1996","2023","110113","환경부"
"안성천","평택시(진위1교)","1101663","2010","2023","110114","환경부"
"안성천","평택시(회화리)","1101665","1996","2023","110114","환경부"
"안성천","평택시(동연교)","1101670","1996","2023","110115","환경부"
"안성천","평택시(팽성대교)","1101680","2007","2023","110116","환경부"
"안성천","아산만(내)","1101695","2006","2017","110118","한국농어촌공사"
"안성천","아산만(외)","1101696","2006","2014","110118","한국농어촌공사"
"한강서해","강화군(강화대교)","1201620","2006","2023","120104","환경부"
"한강서해","아라서해갑문(내)","1201651","2015","2022","120102","한국수자원공사"
"한강서해","아라서해갑실(남)","1201652","2015","2022","120102","한국수자원공사"
"한강서해","아라서해갑문(외)","1201653","2015","2022","120102","한국수자원공사"
"한강서해","아라서해갑실(북)","1201654","2015","2022","120102","한국수자원공사"
"한강동해","양양군(용천2교)","1301630","2015","2023","130107","환경부"
"한강동해","양양군(양양대교)","1301658","2006","2023","130107","환경부"
"한강동해","강릉시(회산교)","1302648","1996","2023","130204","환경부"
"한강동해","동해시(원평교)","1302665","2015","2023","130207","한국수자원공사"
"한강동해","동해시(북평교)","1302668","2006","2023","130207","환경부"
"한강동해","강릉시(송림교)","1302670","2015","2023","130201","환경부"
"한강동해","삼척시(남양촌교)","1303610","2019","2023","130305","환경부"
"한강동해","삼척시(상정교)","1303650","2015","2023","130302","환경부"
"한강동해","삼척시(오십천교)","1303680","2006","2023","130302","환경부"